Outlet SAP BP ID	Send to Supplier	COF #	Store Number	Ship To Name	Address 1	Address 2	City	State	Zip	Order Qty	Part Number	Pre-Filter	Combo Filter 	Ice Only Filter	Req'd Ship Date	Carrier	 Tracking #	Returns with a reason code	Customer Number	PO Number	Ordered By	Shipping Vendor	Shipping Method
10150236	44154	3399866	1	WIENERSCHNITZEL #001	900 W PACIFIC COAST HWY		WILMINGTON	CA	90744	1	108-020NS		108-020NS		12/29/2020				60000006	GGIDec2020	Christine	822942	GRD
10150646	44154	9602046	3	WIENERSCHNITZEL #003	1300 E ROSECRANS AVE		COMPTON	CA	90221	1	108-020NS		108-020NS		12/29/2020								
10150512	44154	431307	6	WIENERSCHNITZEL #006	11660 IMPERIAL HWY		NORWALK	CA	90650	1	108-020NS		108-020NS	108-014-S	12/29/2020								
10150512	44154	431307	6	WIENERSCHNITZEL #006	11660 IMPERIAL HWY		NORWALK	CA	90650	1	108-014-S				12/29/2020								
10150571	44154	429738	7	WIENERSCHNITZEL #007	649 W ARROW HWY		GLENDORA	CA	91740	1	108-020NS		108-020NS		12/29/2020								
10150523	44154	7714334	12	WIENERSCHNITZEL #012	3012 E ARTESIA BLVD		LONG BEACH	CA	90805	1	108-020NS		108-020NS		12/29/2020								
10150802	44154	394112	13	WIENERSCHNITZEL #013	4530 EL CAJON		SAN DIEGO	CA	92115	1	108-020NS		108-020NS		12/29/2020								
10150821	44154	3692069	14	WIENERSCHNITZEL #014	2669 GARNET AVE		SAN DIEGO	CA	92109	1	108-020NS		108-020NS		12/29/2020								
10150238	44154	437052	15	WIENERSCHNITZEL #015	13852 HARBOR BLVD		GARDEN GROVE	CA	92843	1	108-020NS		108-020NS		12/29/2020								
10150595	44154	3466923	16	WIENERSCHNITZEL #016	8201 ROSECRANS AVE		PARAMOUNT	CA	90723	1	108-020NS		108-020NS		12/29/2020								
10150245	44154	437056	20	WIENERSCHNITZEL #020	5215 N FIGUEROA ST		LOS ANGELES	CA	90042	1	108-020NS		108-020NS	108-014-S	12/29/2020								
10150245	44154	437056	20	WIENERSCHNITZEL #020	5215 N FIGUEROA ST		LOS ANGELES	CA	90042	1	108-014-S				12/29/2020								
10150249	44154	9788064	23	WIENERSCHNITZEL #023	3695 CENTRAL AVE		RIVERSIDE	CA	92506	1	108-020NS		108-020NS		12/29/2020								
10150737	44154	3666619	24	WIENERSCHNITZEL #024	509 W. ROUTE 66		GLENDORA	CA	91740	1	108-020NS		108-020NS		12/29/2020								
10150261	44154	393633	25	WIENERSCHNITZEL #025	624 N COAST HWY		OCEANSIDE	CA	92054	1	108-020NS		108-020NS		12/29/2020								
