SHIP TO NAME,STORE NUMBER,CONCEPT CODE,ADDRESS 1,ADDRESS 2,CITY,STATE,ZIP,TAX AREA CODE,TAX EXPLANATION CODE
PIZZA HUT,14426,PH,2567 S SHIELDS ST,STE B-D,FORT COLLINS,CO,80526,CA01,
PIZZA HUT,14420,PH,450 DENVER AVE,,FORT LUPTON,CO,80621,CA01,
PIZZA HUT,14421,PH,2439 W 10TH ST,,GREELEY,CO,80634,CA01,
PIZZA HUT,14630,PH,831 S DETROIT ST,,YUMA,CO,80759,CA01,
PIZZA HUT,6679,PH,320 S LINCOLN ST,,BURLINGTON,CO,80807,CA01,
PIZZA HUT,22695,PH,250 E US HIGHWAY 24,,WOODLAND PARK,CO,80863,CA01,
PIZZA HUT,22709,PH,5815 PALMER PARK BLVD,,COLORADO SPRINGS,CO,80915,CA01,
PIZZA HUT,81401,PH,2331 S TOWNSEND AVE,,MONTROSE,CO,81401,CA01,
PIZZA HUT,11424,PH,3611 KIRKWOOD HWY,,WILMINGTON,DE,19808,CA01,
PIZZA HUT,11414,PH,779 N DUPONT HWY,,DOVER,DE,19901,CA01,
PIZZA HUT,11420,PH,19068 COASTAL HWY,,REHOBOTH BEACH,DE,19971,CA01,
PIZZA HUT,4282,PH,1050 N PONCE DE LEON BLVD,,Saint Augustine,FL,32084,CA01,
PIZZA HUT,26535,PH,500 S ATLANTIC AVE,,DAYTONA BEACH,FL,32118,CA01,
PIZZA HUT,26496,PH,432 S ATLANTIC AVE,,ORMOND BEACH,FL,32176,CA01,
PIZZA HUT,622018,PH,5421 ROOSEVELT BLVD,,JACKSONVILLE,FL,32210,CA01,
PIZZA HUT,622071,PH,1141 DUNN AVE,,JACKSONVILLE,FL,32218,CA01,
PIZZA HUT,622022,PH,7939 NORMANDY BLVD,,JACKSONVILLE,FL,32221,CA01,
PIZZA HUT,14358,PH,1710 W TENNESSEE ST,,TALLAHASSEE,FL,32304,CA01,
PIZZA HUT,30532,PH,1244 S JEFFERSON ST,,MONTICELLO,FL,32344,CA01,
PIZZA HUT,13030,PH,1606 W JEFFERSON ST,,QUINCY,FL,32351,CA01,
PIZZA HUT,12707,PH,938 W CENTRAL AVE,,BLOUNTSTOWN,FL,32424,CA01,
PIZZA HUT,13369,PH,2117 S WAUKESHA ST,,BONIFAY,FL,32425,CA01,
PIZZA HUT,13367,PH,1329 MAIN ST,,CHIPLEY,FL,32428,CA01,
PIZZA HUT,14408,PH,2185 POST OAK LN,,MARIANNA,FL,32448,CA01,
PIZZA HUT,12719,PH,5960 PENSACOLA BLVD,,PENSACOLA,FL,32505,CA01,
PIZZA HUT,26270,PH,141 MIRACLE STRIP PKWY SW,,FT WALTON BCH,FL,32548,CA01,
PIZZA HUT,31182,PH,8692 NAVARRE PKWY,NAVARRE SQUARE,NAVARRE,FL,32566,CA01,
PIZZA HUT,12726,PH,6465 HIGHWAY 90,,MILTON,FL,32570,CA01,
PIZZA HUT,27917,PH,15947 NW US HIGHWAY 441,,ALACHUA,FL,32615,CA01,
PIZZA HUT,24428,PH,1105 N YOUNG BLVD,,CHIEFLAND,FL,32626,CA01,
PIZZA HUT,29922,PH,23 E NOBLE AVE,,WILLISTON,FL,32696,CA01,
PIZZA HUT,26504,PH,883 SEMORAN BLVD,,APOPKA,FL,32703,CA01,
PIZZA HUT,26533,PH,1403 N WOODLAND BLVD,,DELAND,FL,32720,CA01,
PIZZA HUT,26487,PH,917 SAXON BLVD,,ORANGE CITY,FL,32763,CA01,
PIZZA HUT,26505,PH,3852 S ORLANDO DR,,SANFORD,FL,32773,CA01,
PIZZA HUT,26493,PH,939 N CENTRAL AVE,,UMATILLA,FL,32784,CA01,
PIZZA HUT,26539,PH,700 MAGUIRE BLVD,,ORLANDO,FL,32803,CA01,
PIZZA HUT,26538,PH,8128 S ORANGE BLOSSOM TRL,,ORLANDO,FL,32809,CA01,
PIZZA HUT,26541,PH,7060 INTERNATIONAL DR,,ORLANDO,FL,32816,CA01,
PIZZA HUT,26544,PH,8699 PALM PKWY,,ORLANDO,FL,32836,CA01,
