Order #	TRACKING #	Freight
1012170	284554410682122	13.57
1012174	284554410682146	13.57
1012250	284554410682894	18.19
1012262	284554410683013	25.03
1012264	284554410683006	25.03
1012270	284554410683075	25.03
1012284	284554410683204	42.85
1012289	284554410683242	30.58
1012304	284554410683396	30.58
1012336	284554410683723	25.03
1012393	284554410684300	16.45
1012140	284554410681859	25.03
1012430	284554410684607	80.9
1012429	284554410684614	14.16
1012421	284554410685031	32.9
1012105	284554410681491	18.19
1012106	284554410681507	18.19
1012107	284554410681514	33.5
1012108	284554410681521	18.19
1012109	284554410681538	18.19
1012153	284554410681965	33.5
1012110	284554410681569	18.19
1012157	284554410682009	18.19
1012111	284554410681545	18.19
1012112	284554410681552	18.19
1012113	284554410681576	18.19
1012171	284554410682115	18.19
1012178	284554410682191	18.19
1012114	284554410681606	33.5
1012115	284554410681583	18.19
1012116	284554410681590	18.19
1012117	284554410681613	18.19
1012118	284554410681620	18.19
1012119	284554410681637	18.19
1012120	284554410681651	18.19
1012121	284554410681644	18.19
1012229	284554410682696	33.5
1012234	284554410682740	18.19
1012122	284554410681668	18.19
1012124	284554410681682	18.19
1012257	284554410682979	18.19
1012126	284554410681705	18.19
1012266	284554410681231	39.68
1012127	284554410681712	18.19
1012128	284554410681729	18.19
1012129	284554410681767	18.19
1012283	284554410683198	18.19
1012130	284554410681736	33.5
1012296	284554410683327	18.19
1012131	284554410681743	18.19
1012132	284554410681750	18.19
1012133	284554410681798	18.19
1012134	284554410681774	18.19
1012324	284554410683617	18.19
1012328	284554410683648	18.19
1012332	284554410684874	22.78
1012334	284554410683709	18.19
1012135	284554410681781	18.19
1012343	284554410683785	18.19
1012347	284554410683815	23.01
1012348	284554410683846	18.19
1012349	284554410683853	18.19
1012136	284554410681811	18.19
1012351	284554410683860	33.5
1012356	284554410683921	18.19
1012358	284554410683952	18.19
1012139	284554410681835	18.19
1012142	284554410681866	18.19
1012143	284554410681880	18.19
1012144	284554410681873	18.19
1012145	284554410684638	22.78
1012146	284554410681927	18.19
1012147	284554410681903	18.19
1012148	284554410684621	27.14
1012149	284554410681934	18.19
1012150	284554410681941	18.19
1012151	284554410684645	22.78
1012152	284554410681972	18.19
1012154	284554410681989	18.19
1012155	284554410681996	18.19
1012156	284554410682023	18.19
1012159	284554410682016	18.19
1012160	284554410682030	18.19
1012161	284554410682061	16.45
1012162	284554410682054	18.19
1012163	284554410682047	16.45
1012164	284554410684652	35.9
1012165	284554410682085	18.19
1012166	284554410681033	20.06
1012167	284554410681453	33.5
1012168	284554410682092	18.19
1012169	284554410682108	18.19
1012172	284554410682139	25.03
1012173	284554410682153	18.19
1012175	284554410682177	18.19
1012176	284554410682160	18.19
1012177	284554410682184	18.19
1012179	284554410684676	28.31
1012180	284554410684669	22.78
1012181	284554410682221	18.19
1012182	284554410684683	22.78
1012183	284554410682245	18.19
1012184	284554410680890	15.65
1012185	284554410682252	18.19
1012186	284554410684690	22.78
1012187	284554410682276	9.6
1012188	284554410682290	18.19
1012189	284554410684706	22.78
1012190	284554410682306	18.19
1012191	284554410682313	18.19
1012192	284554410682320	18.19
1012193	284554410682344	25.03
1012194	284554410684720	22.78
1012195	284554410682351	18.19
1012196	284554410682368	18.19
1012197	284554410682375	18.19
1012198	284554410682412	18.19
1012199	284554410682399	42.85
1012200	284554410682382	18.19
1012201	284554410682429	30.58
1012202	284554410682405	30.58
1012203	284554410682436	18.19
1012204	284554410682443	33.5
1012205	284554410682450	33.5
1012206	284554410682467	33.5
1012207	284554410682481	18.19
1012208	284554410682474	33.5
1012209	284554410682498	16.45
1012210	284554410682504	16.45
1012211	284554410682511	18.19
1012212	284554410684713	22.78
1012213	284554410682535	18.19
1012214	284554410682559	18.19
1012215	284554410682542	18.19
1012216	284554410682566	18.19
1012217	284554410682580	18.19
1012218	284554410682573	18.19
1012219	284554410682597	18.19
1012220	284554410682603	18.19
1012221	284554410682610	18.19
1012222	284554410682627	33.5
1012223	284554410684737	22.78
1012224	284554410682634	33.5
1012225	284554410682641	18.19
1012226	284554410682665	18.19
1012227	284554410682672	18.19
1012228	284554410682689	18.19
1012230	284554410682702	18.19
1012231	284554410682719	18.19
1012232	284554410682726	18.19
1012233	284554410682733	18.19
1012235	284554410682757	18.19
1012236	284554410682764	18.19
1012237	284554410682795	18.19
1012238	284554410682771	18.19
1012239	284554410682788	18.19
1012240	284554410682801	18.19
1012241	284554410684744	27.14
1012242	284554410684768	38.61
1012243	284554410682832	18.19
1012244	284554410682849	13.57
1012245	284554410682856	18.19
1012246	284554410682863	33.5
1012247	284554410682870	18.19
1012248	284554410682900	43.91
1012123	284554410681675	18.19
1012249	284554410682887	18.19
1012251	284554410684751	38.61
1012252	284554410682924	18.19
1012253	284554410684775	22.78
1012254	284554410682948	18.19
1012255	284554410684782	22.78
1012125	284554410681699	18.19
1012256	284554410682962	23.01
1012258	284554410681217	28.16
1012259	284554410682986	18.19
1012260	284554410682993	18.19
1012263	284554410684799	22.78
1012265	284554410684805	27.14
1012267	284554410683037	16.45
1012268	284554410683044	33.5
1012269	284554410683068	18.19
1012271	284554410683099	18.19
1012272	284554410683082	18.19
1012273	284554410683105	30.58
1012274	284554410681262	22.92
1012275	284554410683112	30.58
1012276	284554410683129	18.19
1012277	284554410683136	18.19
1012278	284554410683150	18.19
1012279	284554410683143	18.19
1012280	284554410683167	18.19
1012281	284554410683174	18.19
1012282	284554410683181	18.19
1012285	284554410683211	18.19
1012286	284554410683228	18.19
1012287	284554410683266	16.45
1012288	284554410683235	18.19
1012290	284554410683259	18.19
1012291	284554410683273	18.19
1012292	284554410683280	13.57
1012293	284554410683297	13.57
1012294	284554410683303	18.19
1012295	284554410683310	18.19
1012297	284554410683334	18.19
1012298	284554410683341	18.19
1012299	284554410683358	18.19
1012300	284554410683365	18.19
1012301	284554410683372	33.5
1012302	284554410683389	18.19
1012303	284554410683433	18.19
1012305	284554410683402	18.19
1012306	284554410683419	18.19
1012307	284554410683426	18.19
1012308	284554410683440	18.19
1012309	284554410683464	18.19
1012310	284554410683457	18.19
1012311	284554410683488	16.45
1012312	284554410683471	18.19
1012313	284554410683495	18.19
1012314	284554410683501	16.45
1012315	284554410684812	22.78
1012316	284554410684843	22.78
1012317	284554410683532	18.19
1012318	284554410683549	18.19
1012319	284554410684836	22.78
1012320	284554410684829	22.78
1012321	284554410683563	18.19
1012322	284554410684959	22.78
1012323	284554410683594	18.19
1012325	284554410684881	22.78
1012326	284554410683624	18.19
1012327	284554410684850	22.78
1012329	284554410683655	18.19
1012330	284554410684867	22.78
1012331	284554410683662	18.19
1012333	284554410683693	33.5
1012335	284554410683716	18.19
1012337	284554410683730	18.19
1012338	284554410683747	18.19
1012339	284554410683754	18.19
1012340	284554410683839	18.19
1012341	284554410683778	18.19
1012342	284554410683761	18.19
1012344	284554410683792	18.19
1012345	284554410683808	16.45
1012346	284554410683822	18.19
1012350	284554410684898	22.78
1012352	284554410683884	16.45
1012353	284554410683877	16.45
1012354	284554410683891	16.45
1012355	284554410683914	18.19
1012357	284554410683945	18.19
1012359	284554410683938	18.19
1012360	284554410683976	18.19
1012361	284554410683969	18.19
1012362	284554410683983	16.45
1012363	284554410683990	39.66
1012364	284554410684911	22.78
1012365	284554410684010	18.19
1012366	284554410684027	17.95
1012367	284554410684034	16.45
1012368	284554410684904	22.78
1012369	284554410684065	18.19
1012370	284554410684058	18.19
1012371	284554410684072	16.45
1012372	284554410684935	22.78
1012373	284554410684089	18.19
1012374	284554410684126	16.45
1012375	284554410684096	16.45
1012376	284554410684102	16.45
1012377	284554410684133	18.19
1012378	284554410684140	16.45
1012137	284554410681804	33.5
1012379	284554410684157	16.45
1012380	284554410684164	16.45
1012381	284554410684171	16.45
1012382	284554410684188	23.01
1012383	284554410684195	23.01
1012384	284554410684218	18.19
1012385	284554410684928	27.14
1012386	284554410684225	16.45
1012387	284554410684270	18.19
1012388	284554410684942	27.14
1012389	284554410684980	22.78
1012390	284554410684966	36.38
1012391	284554410684263	18.19
1012138	284554410681828	30.58
1012392	284554410684287	18.19
1012394	284554410684294	18.19
