SHIP TO NAME	STORE NUMBER	CONCEPT CODE	ADDRESS 1	ADDRESS 2	CITY	STATE	ZIP	TAX AREA CODE	TAX EXPLANATION CODE
JEWEL LAKE TASTEE FREEZ	JEWE	WSZ	3901 RASPBERRY RD		ANCHORAGE	AK	99502	000	S
WIENERSCHNITZEL #713	713	WSZ	2840 HWY 95 STE 200C		BULLHEAD CITY	AZ	86442	AZ04	S
WIENERSCHNITZEL #738	738	WSZ	2100 N MCQUEEN RD		CHANDLER	AZ	85225	AZ01	S
WIENERSCHNITZEL #695	695	WSZ	6030 W THUNDERBIRD RD		GLENDALE	AZ	85306	AZ01	S
WIENERSCHNITZEL #737	737	WSZ	9370 W NORTHERN AVE		GLENDALE	AZ	85305	AZ01	S
WIENERSCHNITZEL #673	673	WSZ	245 LAKE HAVASU AVE N		LAKE HAVASU CITY	AZ	86403	AZ04	S
WIENERSCHNITZEL #762	762	WSZ	1225 S HIGLEY RD		MESA	AZ	85206	AZ04	S
WIENERSCHINITZEL #852	852	WSZ	21405 S ELLSWORTH RD		QUEEN CREEK	AZ	85142	AZ01	S
WIENERSCHNITZEL #723	723	WSZ	804 S MCCLINTOCK DR		TEMPE	AZ	85281	AZ01	S
WIENERSCHNITZEL #145	145	WSZ	3460 N ORACLE RD		TUCSON	AZ	85705	AZ03	S
WIENERSCHNITZEL #273	273	WSZ	1481 S ALVERNON WAY		TUCSON	AZ	85711	AZ03	S
WIENERSCHNITZEL #274	274	WSZ	1401 S KOLB RD		TUCSON	AZ	85710	AZ03	S
WIENERSCHNITZEL #454	454	WSZ	6346 N ORACLE RD		TUCSON	AZ	85704	AZ03	S
HAMBURGER STAND #513	513	WSZ	625 W AJO WAY		TUCSON	AZ	85713	AZ03	S
WIENERSCHNITZEL #691	691	WSZ	2155 S 6TH AVE		TUCSON	AZ	85713	AZ03	S
WIENERSCHNITZEL #692	692	WSZ	5765 E BROADWAY BLVD		TUCSON	AZ	85711	AZ03	S
HAMBURGER STAND #795	795	WSZ	1710 W VALENCIA RD STE 100		TUCSON	AZ	85746	AZ03	S
WIENERSCHNITZEL #79	79	WSZ	1775 S 4TH AVE		YUMA	AZ	85364	AZ03	S
HAMBURGER STAND #556	556	WSZ	2820 S PACIFIC AVE		YUMA	AZ	85365	AZ03	S
WIENERSCHNITZEL #0644	644	WSZ	1708 WEBSTER ST		ALAMEDA	CA	94501	CA21	S
WIENERSCHNITZEL#133	133	WSZ	2301 W VALLEY BLVD		ALHAMBRA	CA	91803	CA26	S
WIENERSCHNITZEL #080	80	WSZ	101 N STATE COLLEGE BLVD		ANAHEIM	CA	92806	CA10	S
WIENERSCHNITZEL #108	108	WSZ	2569 W BALL RD		ANAHEIM	CA	92804	CA10	S
WIENERSCHNITZEL #332	332	WSZ	2580 W LA PALMA AVE		ANAHEIM	CA	92801	CA10	S
WIENERSCHNITZEL #813	813	WSZ	200 E 18TH ST		ANTIOCH	CA	94509	CA23	S
WIENERSCHNITZEL #768	768	WSZ	12218 APPLE VALLEY RD	BLDG 3 STE A	APPLE VALLEY	CA	92308	CA10	S
WIENERSCHNITZEL #269	269	WSZ	11615 SOUTH ST		ARTESIA	CA	90701	CA25	S
WIENERSCHNITZEL #418	418	WSZ	13401 BOWMAN RD		AUBURN	CA	95603	CA06	S
WIENERSCHNITZEL #107	107	WSZ	1130 UNION AVE		BAKERSFIELD	CA	93307	CA12	S
WIENERSCHNITZEL #183	183	WSZ	2931 NILES ST		BAKERSFIELD	CA	93306	CA12	S
WIENERSCHNITZEL #184	184	WSZ	2401 BRUNDAGE LN		BAKERSFIELD	CA	93304	CA12	S
WIENERSCHNITZEL #356	356	WSZ	4044 MING AVE		BAKERSFIELD	CA	93309	CA12	S
WIENERSCHNITZEL #453	453	WSZ	236 N CHESTER AVE		BAKERSFIELD	CA	93308	CA12	S
WIENERSCHNITZEL #567	567	WSZ	6200 WHITE LN		BAKERSFIELD	CA	93309	CA12	S
WIENERSCHNITZEL #663	663	WSZ	3748 COFFEE RD		BAKERSFIELD	CA	93308	CA12	S
WIENERSCHNITZEL #055	55	WSZ	13999 FRANCISQUITO AVE		BALDWIN PARK	CA	91706	CA25	S
WIENERSCHNITZEL #0680	680	WSZ	1305 E MAIN ST		BARSTOW	CA	92311	CA15	S
